Versie;Schaal;Periode;TypeResultaat;Habitattype;Habitatsubtype;Criterium;Indicator;Belang;SBZH;nObs;sumWeights;AandeelGunstig;AandeelGunstig_LLCI;AandeelGunstig_ULCI
Versie 2.0;;;;3260;;;helofyten;;Binnen & Buiten;123;302,1127216;94,11;88,09;97,19
Versie 2.0;;;;3260;;;helofyten;;binnen_sa;83;208,7295284;92,44;84,12;96,58
Versie 2.0;;;;3260;;;helofyten;;buiten;40;93,38319313;97,86;90,73;99,53
Versie 2.0;;;;3260;;;verticale structuur;;Binnen & Buiten;123;302,1127216;84,68;76,66;90,3
Versie 2.0;;;;3260;;;verticale structuur;;binnen_sa;83;208,7295284;80,25;70,1;87,57
Versie 2.0;;;;3260;;;verticale structuur;;buiten;40;93,38319313;94,59;85,29;98,14
Versie 2.0;;;;3260;;;sleutelsoorten;;Binnen & Buiten;123;302,1127216;41,2;29,77;53,66
Versie 2.0;;;;3260;;;sleutelsoorten;;binnen_sa;83;208,7295284;38,72;28,78;49,7
Versie 2.0;;;;3260;;;sleutelsoorten;;buiten;40;93,38319313;46,73;20,08;75,39
Versie 2.0;;;;3260;;;eutrofiëring;;Binnen & Buiten;123;302,1127216;94,02;88,2;97,07
Versie 2.0;;;;3260;;;eutrofiëring;;binnen_sa;83;208,7295284;92,78;84,73;96,75
Versie 2.0;;;;3260;;;eutrofiëring;;buiten;40;93,38319313;96,79;89,02;99,12
Versie 2.0;;;;3260;;;invasieve exoten;;Binnen & Buiten;123;302,1127216;97,06;91,94;98,96
Versie 2.0;;;;3260;;;invasieve exoten;;binnen_sa;83;208,7295284;96,22;88,86;98,78
Versie 2.0;;;;3260;;;invasieve exoten;;buiten;40;93,38319313;98,93;92,01;99,87
Versie 3;;;;3260;;;horizontale structuur;;Binnen & Buiten;123;302,1127216;12,36;6,21;23,1
Versie 3;;;;3260;;;horizontale structuur;;binnen_sa;83;208,7295284;16,51;8,04;30,92
Versie 3;;;;3260;;;horizontale structuur;;buiten;40;93,38319313;5,86;1,62;19,09
Versie 3;;;;3260;;;verticale structuur;;Binnen & Buiten;123;302,1127216;84,38;76,49;89,97
Versie 3;;;;3260;;;verticale structuur;;binnen_sa;83;208,7295284;83,62;73,78;90,26
Versie 3;;;;3260;;;verticale structuur;;buiten;40;93,38319313;86,08;71,47;93,85
Versie 3;;;;3260;;;sleutelsoorten;;Binnen & Buiten;123;302,1127216;22,54;13,88;34,45
Versie 3;;;;3260;;;sleutelsoorten;;binnen_sa;83;208,7295284;20,5;13,08;30,66
Versie 3;;;;3260;;;sleutelsoorten;;buiten;40;93,38319313;27,1;8,65;59,34
Versie 3;;;;3260;;;eutrofiëring;;Binnen & Buiten;123;302,1127216;94,02;88,2;97,07
Versie 3;;;;3260;;;eutrofiëring;;binnen_sa;83;208,7295284;92,78;84,73;96,75
Versie 3;;;;3260;;;eutrofiëring;;buiten;40;93,38319313;96,79;89,02;99,12
Versie 3;;;;3260;;;invasieve exoten;;Binnen & Buiten;123;302,1127216;51,72;39,78;63,47
Versie 3;;;;3260;;;invasieve exoten;;binnen_sa;83;208,7295284;49,47;38,79;60,2
Versie 3;;;;3260;;;invasieve exoten;;buiten;40;93,38319313;56,75;28,39;81,29
